Date,EW_Nifty (buy-hold),S1 (R<0),S1_inv (R>0),S2a (R<0 & PS<0),S2b (R<0 & PS<-0.001),S3 (R<0 & E<=L<=F),S4a (S1 + cross-up 50),S4b (S4a + P<0)
2018-01-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-02,99766.612854117,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-03,99874.96454267764,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-04,100921.60209433023,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-05,101986.33252058487,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-08,102591.15053927297,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-09,102613.71350677896,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-10,102650.12973190875,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11,102752.7302929896,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-12,102815.24111869908,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-15,102792.20761104726,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-16,102335.39169640491,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-17,102986.19051806057,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-18,102184.19470124651,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-19,102782.25701552992,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22,103309.63193110978,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-23,104293.67484260384,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-24,103977.08277577836,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-25,103641.91365590604,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-29,103847.80267569973,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-30,102905.95924448616,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-31,102470.94823190819,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-01,102938.06953327953,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-02,100583.6789826884,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-05,99873.82690557167,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-06,98548.68412913529,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-07,98671.32331989685,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-08,99999.32572205638,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-09,99469.90079071392,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-12,100397.03189389774,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-14,100158.30683131497,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-15,100415.32370645292,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-16,99453.81343622146,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-19,98337.98403392783,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-20,98380.65680461377,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-21,98423.81840497909,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-22,98459.31623950825,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-23,99691.87197592629,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-26,100478.39442192279,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-27,100339.55325693365,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-02-28,99903.48973541197,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-01,99630.10066071957,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-05,98899.93571069758,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-06,97938.09452403855,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-07,96862.69056819742,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-08,97323.02717345752,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-09,96931.79755928768,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-12,98403.51174781588,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-13,98749.44401508737,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-14,98788.68281224435,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-15,98767.72539316944,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-16,97397.0600842402,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-19,96081.67875378754,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-20,96568.54917809875,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-21,96715.68285523284,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-22,96184.99564274016,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-23,95493.33013866076,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-26,96730.41006714705,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-27,97511.04034501924,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-28,97010.80270271642,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-02,98485.75535274234,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-03,98648.40245162102,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-04,97385.30802969496,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-05,99471.94664490428,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-06,99763.7489733772,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-09,100092.07425780746,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-10,100531.41906198856,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-11,100757.74445620431,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-12,100832.58541055376,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-13,101155.14159874848,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-16,101728.02819529154,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-04-17,101949.51772508827,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
